severity,category,signal,event_time,event_name,event_source,actor,source_ip,why_it_matters,recommendation
Critical,Network Exposure,Public security group ingress,2026-09-01T16:04:03Z,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,lab-admin,203.0.113.55,Public inbound access can expose cloud resources to internet scanning and unauthorized access attempts.,"Revoke unnecessary public access, restrict source ranges, and alert on public administrative ports."
Critical,Logging,CloudTrail logging changed,2026-09-01T16:32:15Z,StopLogging,cloudtrail.amazonaws.com,lab-auditor,203.0.113.21,CloudTrail changes can reduce the ability to reconstruct account activity during an investigation.,"Validate change approval, restore logging if needed, and restrict CloudTrail administration."
High,Identity,Root account activity,2026-09-01T15:03:11Z,ConsoleLogin,signin.amazonaws.com,Root,198.51.100.10,"Root account activity is high impact and should be rare, intentional, and protected by MFA.","Confirm the activity was expected, verify MFA, and review actions that followed the login."
High,Credential,Access key created,2026-09-01T15:31:10Z,CreateAccessKey,iam.amazonaws.com,lab-admin,203.0.113.55,Long-lived access keys can become persistence or data access risk when they are unnecessary or unmanaged.,"Validate business need, remove unused keys, rotate keys as needed, and prefer temporary credentials."
High,Privilege,Privilege policy changed,2026-09-01T15:42:27Z,AttachUserPolicy,iam.amazonaws.com,lab-admin,203.0.113.55,IAM policy changes can expand what an identity is allowed to do.,"Confirm approval, scope the granted permissions, and replace broad access with least privilege."
High,Data Exposure,S3 public access control weakened,2026-09-01T16:20:43Z,DeletePublicAccessBlock,s3.amazonaws.com,lab-admin,203.0.113.55,S3 public-access changes can expose sensitive data if not reviewed and tightly controlled.,"Keep Block Public Access enabled, validate bucket policy scope, and review Access Analyzer findings."
High,Detection,GuardDuty configuration changed,2026-09-01T17:12:48Z,CreateDetector,guardduty.amazonaws.com,lab-admin,203.0.113.55,"Detection coverage changes should be intentional, documented, and reviewed.",Confirm GuardDuty status matches the lab plan and document the reason for the change.
High,Data Exposure,S3 public access control weakened,2026-09-01T17:44:08Z,PutBucketPolicy,s3.amazonaws.com,lab-analyst,198.51.100.44,S3 public-access changes can expose sensitive data if not reviewed and tightly controlled.,"Keep Block Public Access enabled, validate bucket policy scope, and review Access Analyzer findings."
Medium,Identity,Failed console login,2026-09-01T15:18:42Z,ConsoleLogin,signin.amazonaws.com,lab-auditor,203.0.113.21,"Failed sign-in activity can indicate user error, misconfiguration, or attempted access.","Review the identity, source IP, repeated attempts, and any successful login after the failure."
Medium,Denied Activity,Access denied activity,2026-09-01T16:32:15Z,StopLogging,cloudtrail.amazonaws.com,lab-auditor,203.0.113.21,Denied actions are useful investigation signals because they show attempted behavior even when blocked.,"Review whether the denied action was expected, misconfigured, or suspicious."
Medium,Denied Activity,Access denied activity,2026-09-01T17:44:08Z,PutBucketPolicy,s3.amazonaws.com,lab-analyst,198.51.100.44,Denied actions are useful investigation signals because they show attempted behavior even when blocked.,"Review whether the denied action was expected, misconfigured, or suspicious."
Informational,Remediation,Remediation evidence,2026-09-01T16:06:59Z,RevokeSecurityGroupIngress,ec2.amazonaws.com,lab-admin,203.0.113.55,Corrective events help complete the timeline and show whether a risky change was reversed.,Document the remediation and confirm the final resource state.
